Unnamed: 0,target,generated_val
501,"Make results column sticky
## Description

Closes https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/7896, per suggestion of @missionfloyd 

Makes results column sticky, with a fix to make it work with Gradio 3.39.0. This will still function properly if the column happens to extend further towards the bottom, and will still always let you scroll to the bottom.

## Screenshots/videos:

https://github.com/AUTOMATIC1111/stable-diffusion-webui/assets/122327233/8beeaf90-ff29-4e57-b155-6c08007ec2ef

## Checklist:

- [x] I have read [contributing wiki page](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing)
- [x] I have performed a self-review of my own code
- [x] My code follows the [style guidelines](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Contributing#code-style)
- [x] My code passes [tests](https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Tests)
",# Fix img2img results column
502,"start少重命名了一处
",# fix post_update.py
503,"👷 Fix logic for when to install and use MkDocs Insiders
👷 Fix logic for when to install and use MkDocs Insiders",# Update GitHub Actions workflow to use v08 cache key
504,"Update data.json to add Filmo.gs
Just added the site for Filmo.gs and verified tests. ",# Added Filmogs
505,"Fix memory handling and error handling in utils.ssl.get_temp_key_info.
Found in #3892. Tested on xenial with various pyOpenSSL and cryptography combinations.",# Fix #1595
506,"Store birthday dates
This program helps us to store data about our friends’ birthdays. I have created a program with the names as keys 
and the birthdays as values. We can also add new dates in this program very easily",# Added birthdays program
507,"Add `export.py` ONNX inference suggestion


## 🛠️ PR Summary

<sub>Made with ❤️ by [Ultralytics Actions](https://github.com/ultralytics/actions)<sub>

### 🌟 Summary
Improvements to model export feedback in the Ultralytics YOLOv5 repository.

### 📊 Key Changes
- Added additional output message guiding users on how to run ONNX model inference after successful export.
- Improved error visibility in export failure by adding a line break before the error message.

### 🎯 Purpose & Impact
- The new output message provides clear instructions for using the exported ONNX model, making it easier for users to understand the next steps. 🧭
- Formatting the error message with a preceding line break increases its visibility, helping users to quickly identify export issues. 🚨

This PR enhances user experience by streamlining the process and guidance provided after model export, leading to a more intuitive workflow for YOLOv5 users.",# Add export success message
508,"Add problem 23 solution
This PR adds the solution to the Project Euler's problem 23",# Added solution for problem 23
509,"Allow full screen button to show for dataframes, charts, etc in expander
<!--
Before contributing (PLEASE READ!)

⚠️ If your contribution is more than a few lines of code, then prior to starting to code on it please post in the issue saying you want to volunteer, then wait for a positive response. And if there is no issue for it yet, create it first.

This helps make sure:

  1. Two people aren't working on the same thing
  2. This is something Streamlit's maintainers believe should be implemented/fixed
  3. Any API, UI, or deeper architectural changes that need to be implemented have been fully thought through by Streamlit's maintainers
  4. Your time is well spent!

More information in our wiki: https://github.com/streamlit/streamlit/wiki/Contributing
-->

## 📚 Context
https://github.com/streamlit/streamlit/issues/5694
_Please describe the project or issue background here_
Fullscreen button can't be found because the overflow is hidden so just setting the parent div to overflow: visible will solve this.
Solution was found by: @LukasMasuch 

- What kind of change does this PR introduce?

  - [x] Bugfix
  - [ ] Feature
  - [ ] Refactoring
  - [ ] Other, please describe:

## 🧠 Description of Changes
- _Add bullet points summarizing your changes here_

  - [ ] This is a breaking API change
  - [x] This is a visible (user-facing) change

**Revised:**
_Insert screenshot of your updated UI/code here_
![Screenshot 2023-02-08 at 11 07 47 AM](https://user-images.githubusercontent.com/16749069/217629584-a6ce8b9e-ec64-4dab-b338-97b513c9af69.png)


**Current:**
![Screenshot 2023-02-08 at 11 16 51 AM](https://user-images.githubusercontent.com/16749069/217629763-439d27a2-2548-4d30-8540-6ee4ffea632f.png)

_Insert screenshot of existing UI/code here_

## 🧪 Testing Done

- [x] Screenshots included
- [ ] Added/Updated unit tests
- [ ] Added/Updated e2e tests

## 🌐 References

_Does this depend on other work, documents, or tickets?_

- **Issue**: Closes #5694 

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this project are made under the Apache 2.0 license.
",# Allow fullscreen button to show
510,"Integrate MBPP benchmarks
Solves https://github.com/gpt-engineer-org/gpt-engineer/issues/914

Run with `python3 gpt_engineer/benchmark gpt_engineer/core/default/simple_agent.py mbpp`

Here are my results running for the first 47 tasks using `gpt-4-0125-preview` model

```
--- Results ---
Total time: 465.19s
Completely correct tasks: 40/47
Total correct assertions: 123/142
Average success rate: 86.52482269503545% on 47 tasks
--- Results ---
```",# Add MBPP benchmark
511,"Move Nginx TLS configuration files into a specific folder
Following discussions in #7298.

This PR moves the three Nginx TLS configuration files into a specific folder, `tls_configs`, update the MANIFEST to include this folder and its content into the `certbot-nginx` package, and update tests accordingly.",# Move nginx tls config files to tls_configs
512,"opt cpu speed and fix wrong link of weights
",# [chinese_db_crnn_mobile] fix the inference model
513,"UI: add flag for showing map render
",# Add map render view
514,"Add placebear API
- [x] My submission is formatted according to the guidelines in the [contributing guide](CONTRIBUTING.md)
- [x] My addition is ordered alphabetically
- [x] My submission has a useful description
- [x] The description does not end with punctuation
- [x] Each table column is padded with one space on either side
- [x] I have searched the repository for any relevant issues or pull requests
- [x] Any category I am creating has the minimum requirement of 3 items
- [x] All changes have been [squashed][squash-link] into a single commit

[squash-link]: <https://github.com/todotxt/todo.txt-android/wiki/Squash-All-Commits-Related-to-a-Single-Issue-into-a-Single-Commit>
",# Added PlaceBear API
515,"Add links for latency based and geolocation based routing
Added Amazon AWS public docs link for better understanding of latency based and geo-location based routing.",# Add links to AWS Route 53 routing policies
516,"Consider hiding the api-key
Some people share screenshots with their API key visible.
Using getpass to hide the key should be considered

### Describe the changes you have made:
Added getpass to hide the key.

### Reference any relevant issue (Fixes #000)

- [x] I have performed a self-review of my code:

### I have tested the code on the following OS:
- [x] Windows
- [ ] MacOS
- [ ] Linux

### AI Language Model (if applicable)
- [ ] GPT4
- [ ] GPT3
- [ ] Llama 7B
- [ ] Llama 13B
- [ ] Llama 34B
- [ ] Huggingface model (Please specify which one)
",# Hide OpenAI API key
517,"init ProxyConfig.certstore with custom certs
It seems, you just forget to initialize custom certs. :-)
",# Add support for multiple cert files
518,"[hotfix] ColoTensor pin_memory
",# [Tensor] Add device to ColoTensor
519,"Copy the mtime from the oldest source file to the file created by ffmpeg
This fixes #4245.

I tested this with Python 2.7.8 and Python 3.4.1 on Windows 7.  The mtime is now correctly set when using `-f bestvideo+bestaudio`.

`--no-mtime` still works as expected.
",# Set the timestamp of the output file to the oldest input fileFixes #1085
520,"Fixes: #3869: Optimize CI runtime of Project Euler's Problem 74's Solution 2


fixes: #3869 

### **Describe your change:**

- Optimize Project Euler's Problem 74's  Solution #2 using caches of factorials and sums of factorials of digits of a number
- Fix typo for Project Euler's Problem 74's  Solution #1 because of which it wasn't running on CI for running solutions


* [ ] Add an algorithm?
* [x] Fix a bug or typo in an existing algorithm?
* [ ] Documentation change?

### **Checklist:**
* [x] I have read [CONTRIBUTING.md](https://github.com/TheAlgorithms/Python/blob/master/CONTRIBUTING.md).
* [x] This pull request is all my own work -- I have not plagiarized.
* [x] I know that pull requests will not be merged if they fail the automated tests.
* [x] This PR only changes one algorithm file.  To ease review, please open separate PRs for separate algorithms.
* [x] All new Python files are placed inside an existing directory.
* [x] All filenames are in all lowercase characters with no spaces or dashes.
* [x] All functions and variable names follow Python naming conventions.
* [x] All function parameters and return values are annotated with Python [type hints](https://docs.python.org/3/library/typing.html).
* [x] All functions have [doctests](https://docs.python.org/3/library/doctest.html) that pass the automated testing.
* [x] All new algorithms have a URL in its comments that points to Wikipedia or other similar explanation.
* [x] If this pull request resolves one or more open issues then the commit message contains `Fixes: #{$ISSUE_NO}`.
",# Add new problems to the directory
521,"Fixing the way we generate the backenduser object during jwt creation
",# Fix user display name
522,"Fixed #30388 -- Made inspectdb generate OneToOneFields rather than ForeignKey(unique/primary_key=True).
",# Fixed #28613 -- Added OneToOneField to inspectdb's output.
523,"Slot colors by type
This PR set the color of slots by type, so you can see what connects where without dragging the connection.

![image](https://user-images.githubusercontent.com/5104869/227709219-2a038ea2-822f-44d4-832c-95cdef55a448.png)

P.S.: colors created by chat GPT to be distinguishable, if it was a bad choice of colors blame the chat GPT 😁",# Add slot color setup
524,"Add Scorecard Action to monitor Keras' security posture
Fixes #18906.

This PR adds the Scorecard Action to monitor Keras' security posture.

I can also add a badge to the project's README if you're interested: [![OpenSSF Scorecard](https://api.securityscorecards.dev/projects/github.com/keras-team/keras/badge)](https://securityscorecards.dev/viewer/?uri=github.com/keras-team/keras)
",# Add GitHub Actions workflow for Scorecard
525,"DOC fix broken links in faq.rst and glossary.rst
<!--
Thanks for contributing a pull request! Please ensure you have taken a look at
the contribution guidelines: https://github.com/scikit-learn/scikit-learn/blob/main/CONTRIBUTING.md
-->


#### What does this implement/fix? Explain your changes.
This PR fixes two broken links:
1. In `glossary.rst` [this](https://contrib.scikit-learn.org/categorical-encoding) broken link was replaced with [this](https://github.com/scikit-learn-contrib/category_encoders) one.
2. In `faq.rst` [this](https://scikits.appspot.com/scikits) broken link was removed completely since no equivalent was found.

",# DOC: Update links to scikit-learn contrib
526,"try fix google 503
基于性能和复杂度考虑，没有检查内容，不知道有没有误检。

试了很多次搜索还是没触发 503，懒得试了。。。",# fix gae proxy
527,"Delete conflicting server_names for random28524
This fixes the same problem in the config under `nginx-roundtrip-testdata` as the one I fixed in https://github.com/certbot/certbot/pull/8248 for the nginx compatibility test.",# Remove duplicate server_name directives
528,"Updated CKA.md
resolved some issues, I hot it was helpful.",# Fix some typos in CKA.md
529,"Fix the wrong link
Fix the wrong link for ""Towards AI-Complete Question Answering: A Set of Prerequisite Toy Tasks""
",# Update babi_memnn.py
530,"Fix stop tokens in `gen_model_answer.py`
## Why are these changes needed?

Some models (e.g. StarChat) have special tokens the stop strings. In such cases the generation is not split properly because with `skip_special_tokens=True` they are removed during decoding. The proposed change keeps them during decoding and removes them after splitting off the proper substring.
",# fix xgen output
531,"Deprecate non-keyword arguments in mask
- [x] xref #41485
- [x] tests added / passed
- [x] Ensure all linting tests pass, see [here](https://pandas.pydata.org/pandas-docs/dev/development/contributing.html#code-standards) for how to run them
- [x] whatsnew entry
",# DEPR: mask positional argumentsCloses #41485
532,"[docs] Fix image segmentation guide
Fixes #30058:

- adds import for Accelerate
- adds code snippet to view image but also keeps viewing the metadata as well since imo its important to see the other fields in there
- reloads the dataset in the Inference section
- adds the `ade_palette` colormap manually so the code snippet just runs (let me know if there is a better way to import the colormap!)",# Update semantic segmentation guide
533,"Corrected tutorial05 method name
The code examples use the method assertIs() while the docs used assertEqual()
",# Fixed typo in tutorial05.txt
534,"Added 1 More Python Program to Extract Tables From docx,txt and PDF
Added 1 More Python Program to Extract Tables From docx,txt and PDF",# Extract-Table-from-pdf-txt-docx
535,"Nissan: use bus 0 to fingerprint
Closes: https://github.com/commaai/openpilot/issues/25755

Follow up to https://github.com/commaai/openpilot/pull/31138

Once we go to release we'll get a lot more data and can merge

- [x] NISSAN X-TRAIL 2017 - everything comes back! fa9224be239005c7|2024-01-31--17-57-19
- [x] NISSAN LEAF 2018 - everything comes back! 289d318fded3221a|2024-01-31--17-35-48
- [x] NISSAN LEAF 2018 Instrument Cluster - probably works
- [ ] NISSAN ROGUE 2019
- [ ] NISSAN ALTIMA 2020",# Fix Nissan RX offset
536,"Mongo index creation
- [ ] Title: Mongodb: MongoDB connection performance improvement. 
- [ ] Message: 
    - **Description:** I made collection index_creation as optional. Index Creation is one time process.
    - **Issue:** MongoDBChatMessageHistory class object is attempting to create an index during connection, causing each request to take longer than usual. This should be optional with a parameter.
    - **Dependencies:** N/A
    - **Branch to be checked:** origin/mongo_index_creation

",# MongoDBChatMessageHistory: add create_index parameter
537,"find: Allow reading whole file for contains regex

##### SUMMARY

Change:
- Add a parameter `read_whole_file` which allows for reading the whole
  file when doing a `contains` regex search.
- This allows for (for example) matching a pattern at the very end of
  a file.

Test Plan:
- New integration tests

Tickets:
- Fixes #63378

Signed-off-by: Rick Elrod <rick@elrod.me>

<!--- Describe the change below, including rationale and design decisions -->

<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->

##### ISSUE TYPE
<!--- Pick one below and delete the rest -->
- Feature Pull Request


##### COMPONENT NAME

find module",# find: add read_whole_file parameter##### SUMMARYThis PR adds a read_whole_file parameter to the find module. This allows for the whole file to be read into memory and the regex to be applied to the whole file.##### ISSUE TYPE- Feature Pull Request##### COMPONENT NAMEfind module
538,"removed a pitfall where the code was using a default mutable argument
**The problem**
In Python it usually dangerous to use mutable arguments like dicts or lists as default arguments in method, as is better explained [here](https://docs.python-guide.org/writing/gotchas/)

**the solution**
This PR applies a simple refactoring to remove a case where a method was created using default a mutable argument",# Fixing the default value of file_names in find_tf_idf
539,"Clean up cartpole environment.
Improve legibility and adhere to PEP-8.
I left some long lines (the physics equations) as I am not sure whether breaking them up really improves readability.",# Fix cartpole
540,"Update kens github
His website points to https://github.com/ken-reitz, kennethreitz seems to be trolling account (there is Islamophobic profile picture )


![image](https://user-images.githubusercontent.com/193832/92941329-8722fe80-f450-11ea-9ee6-86e55957b21d.png)
",# Update AUTHORS.rst
541,"FROM nvcr.io/nvidia/pytorch:22.01-py3
Reordered installation may help reduce resource usage in autobuild

## 🛠️ PR Summary

<sub>Made with ❤️ by [Ultralytics Actions](https://github.com/ultralytics/actions)<sub>

### 🌟 Summary
Updated the base Docker image used for YOLOv5 to a newer version.

### 📊 Key Changes
- The Dockerfile has been updated to start from a newer base image, changing from `nvcr.io/nvidia/pytorch:21.10-py3` to `nvcr.io/nvidia/pytorch:22.01-py3`.

### 🎯 Purpose & Impact
- **Improved Compatibility:** Ensures compatibility with the latest PyTorch features and CUDA optimizations.
- **Potential Performance Gains:** Users may experience improved performance and efficiency from the newer software stack.
- **Future-Proofing:** Keeps the project up-to-date with current technologies, which can simplify future updates and maintenance.",# Update Dockerfile to use PyTorch 22.01
542,"F.21: fix variable name in example and text
",# Fix typo in example
543,"Add --video_output_dir flag
Video is currently written to a directory named after the input module, which can lead to collisions if modules with the same name are used in a single project. This option allows specifying a video directory manually rather than using the default.",# Add --video_output_dir
544,"Doc notes for core team members
",# DOC: Add guidelines for merging PRs
545,"Fix error message in OpenSSL >=3.2.0
#### Description

Fix the test cases for OpenSSL v3

Ref:
https://github.com/openssl/openssl/commit/81b741f68984b2620166d0d6271fbd946bab9e7f
https://github.com/openssl/openssl/commit/4030869d24309bfb5292e7bec41cd2b3012ba99d

#### Checklist

 - [x] I have updated tests where applicable.
 - [ ] I have added an entry to the CHANGELOG.
",# Update pyOpenSSL to 24.1
546,"Bump actions/stale from 4 to 5
Bumps [actions/stale](https://github.com/actions/stale) from 4 to 5.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/stale/releases"">actions/stale's releases</a>.</em></p>
<blockquote>
<h2>v5.0.0</h2>
<h2>Features</h2>
<ul>
<li><a href=""https://github-redirect.dependabot.com/actions/stale/pull/670"">Update Runtime to node16</a></li>
</ul>
<h2>v4.1.0</h2>
<h1>Features</h1>
<ul>
<li><a href=""https://github.com/actions/stale/commit/9912fa74d1c01b5d6187793d97441019cbe325d0"">Ability to exempt draft PRs</a></li>
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/actions/stale/blob/main/CHANGELOG.md"">actions/stale's changelog</a>.</em></p>
<blockquote>
<h1>Changelog</h1>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/actions/stale/commit/3cc123766321e9f15a6676375c154ccffb12a358""><code>3cc1237</code></a> Merge pull request <a href=""https://github-redirect.dependabot.com/actions/stale/issues/670"">#670</a> from actions/thboop/node16upgrade</li>
<li><a href=""https://github.com/actions/stale/commit/76e9fbc6aed3c0c0ae07b80482afa556484462ce""><code>76e9fbc</code></a> update node version</li>
<li><a href=""https://github.com/actions/stale/commit/6467b96231c45da20bd7c8e2d2cf71eb03ea2cc5""><code>6467b96</code></a> Update default runtime to node16</li>
<li><a href=""https://github.com/actions/stale/commit/8af60513daf46d35533e7d765d4553d223d810e0""><code>8af6051</code></a> build(deps-dev): bump jest-circus from 27.2.0 to 27.4.6 (<a href=""https://github-redirect.dependabot.com/actions/stale/issues/665"">#665</a>)</li>
<li><a href=""https://github.com/actions/stale/commit/7a7efcae1f55c298ef504dcb1c6317ae0c4d4b28""><code>7a7efca</code></a> Fix per issue operation count (<a href=""https://github-redirect.dependabot.com/actions/stale/issues/662"">#662</a>)</li>
<li><a href=""https://github.com/actions/stale/commit/04a1828bc18ada028d85a0252a47cd2963a91abe""><code>04a1828</code></a> build(deps-dev): bump ts-jest from 27.0.5 to 27.1.2 (<a href=""https://github-redirect.dependabot.com/actions/stale/issues/641"">#641</a>)</li>
<li><a href=""https://github.com/actions/stale/commit/65ca3956bd95319211c8614e1329c503511f4ca7""><code>65ca395</code></a> build(deps-dev): bump eslint-plugin-jest from 24.4.2 to 25.3.2 (<a href=""https://github-redirect.dependabot.com/actions/stale/issues/639"">#639</a>)</li>
<li><a href=""https://github.com/actions/stale/commit/eee276c280fb6bde3fbc80ee2d8bdef44b0b83a6""><code>eee276c</code></a> build(deps-dev): bump prettier from 2.4.1 to 2.5.1 (<a href=""https://github-redirect.dependabot.com/actions/stale/issues/628"">#628</a>)</li>
<li><a href=""https://github.com/actions/stale/commit/6c2f9f3f54c858dc4c197dc32a11f39cafd7dc03""><code>6c2f9f3</code></a> Merge pull request <a href=""https://github-redirect.dependabot.com/actions/stale/issues/640"">#640</a> from dmitry-shibanov/v-dmshib/fix-check-dist</li>
<li><a href=""https://github.com/actions/stale/commit/37323f14dd31b16fa32ff4f6ca4c39fa5cefc60d""><code>37323f1</code></a> fix check-dist.yml</li>
<li>Additional commits viewable in <a href=""https://github.com/actions/stale/compare/v4...v5"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=actions/stale&package-manager=github_actions&previous-version=4&new-version=5)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",# Update stale.yml
547,"[Test] [Client] Skip `test_delay_in_rewriting_environment` on MacOS
<!-- Thank you for your contribution! Please review https://github.com/ray-project/ray/blob/master/CONTRIBUTING.rst before opening a pull request. -->

<!-- Please add a reviewer to the assignee section when you create a PR. If you don't have the access to it, we will shortly find a reviewer and assign them to your PR. -->

## Why are these changes needed?
* `test_client_proxy::test_delay_in_rewriting_environment` has been quite Flaky on MacOS
* This test is **fine to skip**, because the ClientServer Proxy is used for remote clusters (which are linux).

<!-- Please give a short summary of the change and the problem this solves. -->

## Related issue number

<!-- For example: ""Closes #1234"" -->

## Checks

- [ ] I've run `scripts/format.sh` to lint the changes in this PR.
- [ ] I've included any doc changes needed for https://docs.ray.io/en/master/.
- [ ] I've made sure the tests are passing. Note that there might be a few flaky tests, see the recent failures at https://flakey-tests.ray.io/
- Testing Strategy
   - [ ] Unit tests
   - [ ] Release tests
   - [ ] This PR is not tested :(
",# [python] fix flaky test on MacOS
548,"Print cause of exceptions even when they have no traceback
Exceptions from subprocesses raised by 'multiprocessing' don't include a traceback, so rich doesn't currently print them. They contain important information though, so this PR enables printing the exception without the traceback. This works because `walk_tb` doesn't do anything if the input is `None`.

Minimal example:

```py
import rich.traceback
import multiprocessing


def fail():
    raise ValueError


if __name__ == ""__main__"":
    rich.traceback.install()
    with multiprocessing.Pool() as pool:
        # The traceback printed by rich doesn't point to the function `fail`,
        # but only to code in the `multiprocessing` module. This PR fixes that.
        pool.apply(fail)
```

Note that exceptions from multiprocessing include the traceback formatted as a string in the description of the exception (see this code in multiprocessing.pool: https://github.com/python/cpython/blob/main/Lib/multiprocessing/pool.py#L57). This will be printed by rich after this PR.

## Type of changes

- [x] Bug fix
- [ ] New feature
- [ ] Documentation / docstrings
- [ ] Tests
- [ ] Other

## Checklist

- [x] I've run the latest [black](https://github.com/psf/black) with default args on new code.
- [x] I've updated CHANGELOG.md and CONTRIBUTORS.md where appropriate.
- [x] I've added tests for new code.
- [x] I accept that @willmcgugan may be pedantic in the code review.
",# Fix #1595
549,"[Snyk] Security upgrade pillow from 9.5.0 to 10.3.0
<p>This PR was automatically created by Snyk using the credentials of a real user.</p><br /><h3>Snyk has created this PR to fix one or more vulnerable packages in the `pip` dependencies of this project.</h3>



#### Changes included in this PR

- Changes to the following files to upgrade the vulnerable dependencies to a fixed version:
    - requirements.txt



#### Vulnerabilities that will be fixed





##### By pinning:
Severity                   | Priority Score (*)                   | Issue                   | Upgrade                   | Breaking Change                   | Exploit Maturity
:-------------------------:|-------------------------|:-------------------------|:-------------------------|:-------------------------|:-------------------------
![high severity](https://res.cloudinary.com/snyk/image/upload/w_20,h_20/v1561977819/icon/h.png ""high severity"")  |  **651/1000**  <br/> **Why?** Recently disclosed, Has a fix available, CVSS 7.3  | Buffer Overflow <br/>[SNYK-PYTHON-PILLOW-6514866](https://snyk.io/vuln/SNYK-PYTHON-PILLOW-6514866) |  `pillow:` <br> `9.5.0 -> 10.3.0` <br>  |  No  | No Known Exploit 

(*) Note that the real score may have changed since the PR was raised.




Some vulnerabilities couldn't be fully fixed and so Snyk will still find them when the project is tested again. This may be because the vulnerability existed within more than one direct dependency, but not all of the affected dependencies could be upgraded.


Check the changes in this PR to ensure they won't cause issues with your project.



------------



**Note:** *You are seeing this because you or someone else with access to this repository has authorized Snyk to open fix PRs.*

For more information:  <img src=""https://api.segment.io/v1/pixel/track?data=eyJ3cml0ZUtleSI6InJyWmxZcEdHY2RyTHZsb0lYd0dUcVg4WkFRTnNCOUEwIiwiYW5vbnltb3VzSWQiOiI5NTMzOGNmMC00M2E5LTRhNTgtOWE3YS05MmE0NGM1OWIxZWEiLCJldmVudCI6IlBSIHZpZXdlZCIsInByb3BlcnRpZXMiOnsicHJJZCI6Ijk1MzM4Y2YwLTQzYTktNGE1OC05YTdhLTkyYTQ0YzU5YjFlYSJ9fQ=="" width=""0"" height=""0""/>
🧐 [View latest project report](https://app.snyk.io/org/glenn-jocher/project/b49ff501-40a6-42c7-ab7e-b98a30f3409e?utm_source&#x3D;github&amp;utm_medium&#x3D;referral&amp;page&#x3D;fix-pr)

🛠 [Adjust project settings](https://app.snyk.io/org/glenn-jocher/project/b49ff501-40a6-42c7-ab7e-b98a30f3409e?utm_source&#x3D;github&amp;utm_medium&#x3D;referral&amp;page&#x3D;fix-pr/settings)

📚 [Read more about Snyk's upgrade and patch logic](https://support.snyk.io/hc/en-us/articles/360003891078-Snyk-patches-to-fix-vulnerabilities)

[//]: # (snyk:metadata:{""prId"":""95338cf0-43a9-4a58-9a7a-92a44c59b1ea"",""prPublicId"":""95338cf0-43a9-4a58-9a7a-92a44c59b1ea"",""dependencies"":[{""name"":""pillow"",""from"":""9.5.0"",""to"":""10.3.0""}],""packageManager"":""pip"",""projectPublicId"":""b49ff501-40a6-42c7-ab7e-b98a30f3409e"",""projectUrl"":""https://app.snyk.io/org/glenn-jocher/project/b49ff501-40a6-42c7-ab7e-b98a30f3409e?utm_source=github&utm_medium=referral&page=fix-pr"",""type"":""auto"",""patch"":[],""vulns"":[""SNYK-PYTHON-PILLOW-6514866""],""upgrade"":[],""isBreakingChange"":false,""env"":""prod"",""prType"":""fix"",""templateVariants"":[""updated-fix-title"",""priorityScore""],""priorityScoreList"":[651],""remediationStrategy"":""vuln""})

---

**Learn how to fix vulnerabilities with free interactive lessons:**

 🦉 [Learn about vulnerability in an interactive lesson of Snyk Learn.](https://learn.snyk.io/?loc&#x3D;fix-pr)


## 🛠️ PR Summary

<sub>Made with ❤️ by [Ultralytics Actions](https://github.com/ultralytics/actions)<sub>

### 🌟 Summary
Upgraded minimum required version of Pillow in `yolov5` dependencies.

### 📊 Key Changes
- Updated the Pillow library version from `>=9.4.0` to `>=10.3.0`.

### 🎯 Purpose & Impact
- **Purpose**: The update ensures compatibility with the latest improvements and security patches in the Pillow library, which is crucial for image processing tasks in YOLOv5.
- **Impact**: Users must upgrade their Pillow installation to at least version 10.3.0. This change can help in improving performance and security but may require users to update their environments, potentially leading to temporary downtime or adjustment period for those with older versions. 🖼️✨",# Update Pillow to 10.3.0
